NAME OF FACILITY,ADDRESS OF FACILITY,Parcel ID,STREET ADDRESS OF FACILITY,STREET OF FACILITY
MDC LOT,4 CHARLES RIVER DAM,300942000,4,CHARLES RIVER DAM
WHITTIER PLACE,395 CHARLES ST,300452758,6 8,WHITTIER
BUILDING A,ONE EMERSON PLACE,300449000,1 25,EMERSON
HAWTHORN PLACE GARAGE,29 BLOSSOM COURT,300475943,2 9,HAWTHORNE
GARDEN GARAGE,35 LOMASNEY WAY,300470000,1 4,LONGFELLOW
LONGFELLOW GARAGE,60 STANIFORD ST,300470000,1 4,LONGFELLOW
SPAULDING REH HOSPITAL LOT,125 NASHUA ST,301927600,125,NASHUA
MASS GENERAL HOSPITAL LOT,75 NASHUA ST,301927500,99,NASHUA
SPAULDING REH HOSPITAL LOT,100 NASHUA ST,301934150,100,NASHUA
,181 - 189 FRIEND ST,301619000,171 189,FRIEND
,15 - 41 HUNTINGTON,401053010,1,HUNTINGTON
"NINETY 8 NORTH, LLC",6 MEDFORD ST,301518000,6 24,MEDFORD
VIP PARKING LOT,26-28 LANCASTER ST,301678000,,MERRIMAC
GREYHOUND BUS,10 ST JAMES AVENUE,501152000,319,STUART
J & O LOT,235-239 FRIEND ST,301603000,,CANAL
208-220 FRIEND ST LOT,208-220 FRIEND ST,"0301645000, 0301661000, 0301642000, 0301643000",,FRIEND
204 FRIEND ST LOT,200-204 FRIEND ST,"0301635000, 0301636000, 0301637000",,FRIEND
RAPIDS PARKING LOT,37 MERRIMAC ST,301632000,37,MERRIMAC
CANAL ST LOT,89-91 CANAL ST,301570001,89 183,CANAL
Pinstripe Parking,86 N Washington St,301522000,86 88,NORTH WASHINGTON
D'AMORE PARKING,34 COOPER ST,302517000,34,COOPER
234 STRADA,226-234 CAUSEWAY ST,303061020,226 250,CAUSEWAY
585 COMMERCIAL ST LOT,585 COMMERCIAL ST,303058001,585,COMMERCIAL
NORTH END GARAGE,600 COMMERCIAL ST,301937000,600,COMMERCIAL
588 Commercial St Lot,588 COMMERCIAL ST,301940000,588,COMMERCIAL
28 STATE ST LLC,28 STATE ST,303694000,28,STATE
MICHAEL ANGELO SCHOOL LOT,70 CHARTER ST,302161000,64 - 84,CHARTER
U S COAST GUARD LOT,COMMERCIAL ST,303050000,466 490,HANOVER
ABBEY BOYLSTON TRUST,573 - 575 BOYLSTON ST,501305000,573 575,BOYLSTON
1983 BOYLSTON STREET TRUST,739 BOYLSTON ST,503207100,745,BOYLSTON
INGALLS BUILDING,857 BOYLSTON ST,503134000,855,BOYLSTON
RICHMOND ST LOT,174 NORTH ST/RICHMOND ST,303305010,130 -140,RICHMOND
133-147 NORTH ST,133-147 NORTH ST,303435000,,CROSS
JOE TECCE LOT,NORTH WASHINGTON ST,302545000,,COOPER ST
ENDICOTT @ STILLMAN LOT,60 ENDICOTT ST,302461000,55 57,ENDICOTT
BDPW LOT,BLACKSTONE ST,303324000,,BLACKSTONE
GOVERNMENT CENTER GARAGE,50 New Sudbury Street,302700000,100 - 300,SUDBURY
LANGONE FUNERAL HOME,72-80 MERRIMAC ST,301686000,115,CAMBRIDGE ST
BURROUGHS WHARF GARAGE,BURROUGHS WHARF,303040000,40 50,BATTERY
HURLEY BUILDING,STANIFORD ST,301686000,115,CAMBRIDGE
SALTONSTALL BUILDING,100 CAMBRIDGE ST,302726000,100,CAMBRIDGE
MCCORMICK BLDG,1 BOWDOIN ST,302726273,1,ASHBURTON
BOSTON VIEW APT,130-140 BOWDOIN ST,302811000,140 130,BOWDOIN
BEACON ST LOT,17 BEACON ST,302806000,17,BEACON
ASHBURTON PLACE LOT,12-14 ASHBURTON PL,302819000,,ASHBURTON
CENTER PLAZA GARAGE,50 CAMBRIDGE ST,302713000,1,CENTER
ONE BEACON ST GARAGE,1 BEACON ST,302720000,1,BEACON
PI-ALLEY GARAGE,275 WASHINGTON ST,302872000,227 235,WASHINGTON
DEVONSHIRE TOWER,ONE DEVONSHIRE PL,303895000,228 256,WASHINGTON
CITY HALL GARAGE,1 City Hall Square,302615000,1,CITY HALL
CITY HALL EXEC GARAGE,CITY HALL EXEC GARAGE,302615000,1,CITY HALL
JFK BUILDING GARAGE,CONGRESS ST,302605000,15 55,NEW SUDBURY
JFK LOT,15 New Sudbury,302605000,15 55,NEW SUDBURY
UNION SQUARE OYSTER HOUSE,ALLEY 102,303344000,,CREEK
CREEK SQUARE LOT,72 Blackstone St.,303342000,,72 86 BLACKSTONE ST
EAST CANTON STREET ASSOCIATES,79 - 109 EAST CANTON ST,801217000,599,ALBANY
HAYMARKET STATION/ MTA GARAGE,136 Blackstone St.,302573000,136,BLACKSTONE
U.S. COAST GUARD,409 423 COMMERCIAL ST,303044000,409 423,COMMERCIAL
BATTERY WHARF,377-395 COMMERCIAL ST,303041084,43501,BATTERY WHARF
GREATER BOSTON COMMUNITY DEVELOPMENT,95 BERKELEY ST,500706000,21 25,CHANDLER
LEWIS WHARF,45 LEWIS WHARF,303029050,,ATLANTIC
PILOT HOUSE EXTENSION GARAGE,20 EASTERN AVE,303030020,45,LEWIS
BOWDOIN SQUARE OFFICE BUILDING,1 BOWDOIN SQ,302621000,15,NEW CHARDON
SARGENTS WHARF LOT,1 Eastern Ave.,303037000,1 49,EASTERN AV
NEW GREEN APPLE,439 - 441 TREMONT ST,500693000,439 441,TREMONT
CLINTON ST GARAGE,20 Clinton St.,303409000,20 30,CLINTON
TAINO TOWER CONDO,143 WEST BROOKLINE ST,900240000,1 11,AGUADILLA
LONG WHARF HOTEL,296 State St.,303020000,296,STATE
FULTON ST LOT,56 FULTON ST,303465100,,FULTON
CHART HOUSE REST LOT,T-WHARF,303026000,,ATLANTIC
VIVIENDAS LA VICTORIA 2,10 SAN JUAN ST,900074000,10,SAN JUAN
60 STATE STREET ASSOCIATES,60 STATE ST,303685000,60,STATE
FIRST NATIONAL BANK OF BOSTON,100 FEDERAL ST,304410000,100,FEDERAL
51 INDIA ST,51 INDIA ST,303984020,,INDIA
53-59 INDIA ST,53-59 INDIA ST,303985020,,INDIA
GARY B SIMON TRUST,149 NEWBURY ST,501361010,278,DARTMOUTH
COLUMBUS CENTER,210 COLUMBUS AVE,501072000,,BERKELEY
AQUARIUM GARAGE - PUBLIC,70 EAST INDIA ROW,302995000,70,E INDIA
RUGGIERO LOT,181 - 183 NORTH WASHINGTON ST,301474000,181 183,N WASHINGTON
WENDELL ST LOT A,WENDELL ST,304038000,,WENDELL
WENDELL ST LOT B,BATTERYMARCH ST,304037000,,BATTERYMARCH
ONE POST OFFICE SQUARE GARAGE,1 POST OFFICE SQUARE,304160000,43638,PEARL
5-15 CUSTOM HOUSE ST,5-15 CUSTOM HOUSE ST,303990444,80,BROAD
BROAD & WATER ST LOT,47-49 BROAD ST,303826000,49 47,BROAD
EXCHANGE PLACE,53 STATE ST,303870000,43 65,STATE
NEW POST OFFICE SQUARE GARAGE,130 Congress St.,304163000,130,CONGRESS
STATE STREET BANK BUILDING,225 FRANKLIN ST,304134000,209 245,FRANKLIN
JAMES HOOK & CO LOT,15-17 NORTHERN AVE,302958000,440 436,ATLANTIC
INTERNATIONAL HOTEL,500 - 520 ATLANTIC AVE,302953010,500,ATLANTIC
RUSSIA WHARF LOT,530 Atlantic Ave.,302952010,520 540,ATLANTIC
KEYSTONE BUILDING GARAGE,99 HIGH ST,304390000,73 101,HIGH
SHAWMUT BANK BUILDING,ONE FEDERAL ST,304668000,1,FEDERAL
50 MILK ST,50 MILK ST,303910000,50,MILK
WOOLWORTH GARAGE,350 Washington St.,304630010,350,WASHINGTON
45 PROVINCE ST,45 PROVINCE ST,304705284,45,PROVINCE
LAFAYETTE PLACE GARAGE,CHAUNCY ST,304500200,2,DE LAFAYETTE
ONE LINCOLN ST GARAGE,ONE LINCOLN ST,304246010,1,LINCOLN
BOSTON EDISON LOT,CHAUNCY ST,304520000,,CHAUNCY
WEST ST LOT,17-23 WEST ST,304816000,21 23,WEST
MASON ST LOT,30 MASON ST,304839010,,MASON
Hayward Place,564-580 WASHINGTON ST,304488000,580,WASHINGTON
MILLENIUM PLACE SOUTH,47 BOYLSTON ST,304870416,10,AVERY
ESSEX @ HARRISON LOT,33-37 ESSEX ST,304975000,33 -37,ESSEX
BEACH ST/EXETER ST GAR,84-96 BEACH ST,304334000,109 153,LINCOLN
EDINBORO @ PURCHASE ST LOT,22 EDINBORO ST,304421000,2 24,EDINBORO
TYLER ST LOT,17 TYLER ST,305268000,,TYLER
BEACH ST GARAGE,36 BEACH ST,304960000,40 14,BEACH
45 Stuart Street LLC,45 Stuart St,304910020,24 -58,LAGRANGE
STATE TRANSP BLDG GARAGE,10 PARK PLAZA,500010001,133 135,STUART
MOTOR MART GARAGE,201 Stuart St,500139000,201 241,STUART
W Boston Hotel,100 STUART ST,500075020,100,STUART
TREMONT HOUSE HOTEL LOT,267 TREMONT ST,500064000,,TREMONT
QUINCY ST GARAGE,885 Washington St.,305545000,885,WASHINGTON
57 HOTEL GARAGE,200 STUART ST,500135000,210 196,STUART
