NAME OF FACILITY,ADDRESS OF FACILITY,Parcel ID,STREET ADDRESS OF FACILITY,STREET OF FACILITY,latitude,longitude
MDC LOT,4 CHARLES RIVER DAM,300942000,4,CHARLES RIVER DAM,42.3684984,-71.0718414
WHITTIER PLACE,395 CHARLES ST,300452758,6 8,WHITTIER,42.3642486,-71.0697927
BUILDING A,ONE EMERSON PLACE,300449000,1 25,EMERSON,42.36455,-71.0687657
HAWTHORN PLACE GARAGE,29 BLOSSOM COURT,300475943,2 9,HAWTHORNE,42.3642234,-71.0673664
GARDEN GARAGE,35 LOMASNEY WAY,300470000,1 4,LONGFELLOW,42.3649365,-71.06472649999999
LONGFELLOW GARAGE,60 STANIFORD ST,300470000,1 4,LONGFELLOW,42.3627338,-71.0642158
SPAULDING REH HOSPITAL LOT,125 NASHUA ST,301927600,125,NASHUA,42.367998,-71.0650515
MASS GENERAL HOSPITAL LOT,75 NASHUA ST,301927500,99,NASHUA,42.3666667,-71.06435139999999
SPAULDING REH HOSPITAL LOT,100 NASHUA ST,301934150,100,NASHUA,42.366617,-71.065257
,181 - 189 FRIEND ST,301619000,171 189,FRIEND,42.3640355,-71.0601499
,15 - 41 HUNTINGTON,401053010,1,HUNTINGTON,42.3486867,-71.0781962
"NINETY 8 NORTH, LLC",6 MEDFORD ST,301518000,6 24,MEDFORD,42.37848169999999,-71.0530808
VIP PARKING LOT,26-28 LANCASTER ST,301678000,,MERRIMAC,42.3641179,-71.0627761
GREYHOUND BUS,10 ST JAMES AVENUE,501152000,319,STUART,42.3504406,-71.0709701
J & O LOT,235-239 FRIEND ST,301603000,,CANAL,42.3646888,-71.0610327
208-220 FRIEND ST LOT,208-220 FRIEND ST,"0301645000, 0301661000, 0301642000, 0301643000",,FRIEND,42.3640176,-71.0608465
204 FRIEND ST LOT,200-204 FRIEND ST,"0301635000, 0301636000, 0301637000",,FRIEND,42.3639716,-71.0604697
RAPIDS PARKING LOT,37 MERRIMAC ST,301632000,37,MERRIMAC,42.3633728,-71.0602754
CANAL ST LOT,89-91 CANAL ST,301570001,89 183,CANAL,42.364673,-71.060046
Pinstripe Parking,86 N Washington St,301522000,86 88,NORTH WASHINGTON,42.365277,-71.058615
D'AMORE PARKING,34 COOPER ST,302517000,34,COOPER,42.36415299999999,-71.056851
234 STRADA,226-234 CAUSEWAY ST,303061020,226 250,CAUSEWAY,42.3666884,-71.059341
585 COMMERCIAL ST LOT,585 COMMERCIAL ST,303058001,585,COMMERCIAL,42.367874,-71.0578089
NORTH END GARAGE,600 COMMERCIAL ST,301937000,600,COMMERCIAL,42.367121,-71.057304
